aX,aY,aZ,gX,gY,gZ
0.983,-0.019,-0.078,-0.244,-2.075,0.366
1.013,-0.009,-0.085,-0.244,0.305,2.625
1.024,-0.005,-0.087,-0.488,-3.357,-0.244

1.267,-1.033,-0.042,42.175,25.635,-57.983
0.865,-1.145,0.080,79.224,9.583,-100.708
0.503,-1.104,0.352,123.779,-13.855,-85.388
0.385,-0.459,0.522,141.418,-13.245,-25.269
0.671,0.108,0.382,155.701,-10.437,50.232
1.023,0.670,0.243,125.488,25.330,98.389
1.258,0.954,0.046,119.446,41.443,70.007
1.304,0.826,-0.091,103.149,6.470,24.536
1.171,0.613,0.044,57.434,-29.663,-18.860
1.012,0.399,0.175,20.996,-37.537,-14.893
1.016,0.226,0.200,7.019,-16.602,6.897
1.101,0.169,0.130,-1.221,2.869,14.404
1.082,0.109,0.082,-6.775,-0.366,7.690
1.018,0.043,0.088,-12.878,-11.719,-3.479
0.957,-0.022,0.080,-13.367,-10.925,-4.639
0.904,-0.063,-0.017,-13.367,-5.371,2.258
0.956,-0.068,-0.038,-19.653,1.404,8.728
1.030,-0.048,-0.014,-22.644,3.296,4.028
1.026,-0.073,0.010,-18.860,4.028,-2.136
1.026,-0.092,0.027,-16.113,-0.793,-2.014
1.029,-0.078,0.014,-15.808,5.676,0.427
1.017,-0.100,-0.015,-18.860,18.433,-0.671
1.019,-0.111,0.027,-33.020,9.705,7.446
1.060,-0.081,0.073,-16.479,2.441,1.892
1.049,-0.083,-0.019,-10.315,-0.366,-6.409
1.001,-0.094,-0.012,-12.085,-13.062,-14.709
0.953,-0.123,0.048,-13.367,-16.846,-16.052
0.948,-0.119,0.051,-10.864,-3.784,-10.742
0.989,-0.116,0.031,-10.925,2.075,-8.911
0.987,-0.125,0.036,-8.301,-10.132,-6.714
0.939,-0.131,0.027,-7.690,-6.165,-1.221
1.005,-0.108,0.067,-10.864,-4.578,8.240
0.993,-0.092,0.042,-2.563,-6.958,-3.662
0.994,-0.109,0.034,-1.343,-8.850,-3.540
1.001,-0.109,0.041,-1.160,-8.606,-3.479
1.018,-0.101,0.046,-1.587,-4.272,-3.967
1.000,-0.104,0.044,-1.160,-6.714,-6.042
0.998,-0.098,0.046,-1.709,-7.568,-3.906
1.027,-0.095,0.036,-3.906,-1.099,-2.258
1.026,-0.097,0.042,-5.188,-1.099,-4.700

1.257,-0.661,-0.345,23.987,6.409,2.930
1.297,-0.719,-0.528,31.616,20.508,1.404
1.214,-0.588,-0.595,31.311,39.063,-22.888
0.953,-0.293,-0.339,28.381,28.015,-50.964
0.705,-0.150,-0.095,37.781,8.484,-72.327
0.483,-0.105,0.084,50.537,-19.592,-57.068
0.544,-0.052,0.375,48.462,-24.780,-5.798
0.820,0.082,0.452,42.786,-2.197,47.974
1.098,0.235,0.427,34.485,12.207,65.125
1.251,0.318,0.421,29.968,-7.568,37.720
1.123,0.224,0.437,29.419,-24.109,11.536
1.040,0.147,0.377,22.949,-22.278,8.484
1.045,0.097,0.276,8.301,-3.235,16.541
1.064,0.080,0.175,4.089,-5.554,13.855
1.031,0.058,0.089,3.113,-11.475,8.057
1.019,0.023,0.078,-0.427,-6.897,3.906
1.018,-0.010,0.052,-4.883,0.122,1.160
1.012,-0.030,0.007,-5.249,-0.305,0.061
0.969,-0.069,-0.008,-6.653,0.183,-0.183
0.982,-0.074,0.017,-8.240,3.113,4.028
1.023,-0.070,0.005,-6.165,4.333,4.883
1.030,-0.070,-0.005,-7.019,0.427,2.808
1.016,-0.082,0.044,-6.958,1.770,1.526
1.012,-0.080,0.059,-5.859,4.761,1.526
0.993,-0.079,0.047,-2.136,3.296,0.793
0.972,-0.091,0.045,-1.465,2.136,1.526
0.977,-0.082,0.030,-1.038,2.197,4.456
1.007,-0.062,0.026,-1.709,2.747,6.897
1.022,-0.055,0.036,-0.732,2.258,3.418
0.995,-0.067,0.033,0.793,0.916,0.122
0.969,-0.069,0.021,0.916,1.099,0.610
0.993,-0.067,0.014,-0.427,4.150,3.723
1.028,-0.052,0.022,-1.953,4.761,2.625
1.024,-0.055,0.019,-1.221,1.587,-1.892
0.988,-0.059,0.014,-1.831,-1.404,-2.563
0.996,-0.065,0.005,-3.113,2.014,-0.977
1.014,-0.063,0.004,-5.493,1.831,-2.014
0.994,-0.064,0.013,-4.822,0.916,-4.089
0.994,-0.072,0.013,-4.272,0.183,-3.540
0.991,-0.075,0.019,-4.639,0.366,-2.319

1.187,-0.940,0.147,7.812,8.179,-46.204
0.954,-1.138,0.359,48.218,-7.263,-90.149
0.690,-1.060,0.616,78.430,0.793,-67.322
0.827,-0.293,0.611,119.690,15.076,-13.611
1.016,0.343,0.196,155.884,17.151,15.137
1.080,0.764,-0.217,151.978,12.512,12.085
1.113,0.848,-0.352,94.604,4.639,-18.860
1.096,0.646,-0.123,64.880,-11.719,-30.090
1.044,0.511,-0.009,46.753,-21.851,-27.649
1.021,0.402,-0.015,25.085,-15.076,-9.033
1.046,0.261,-0.026,8.606,-4.211,3.418
1.089,0.174,0.005,-2.136,-0.671,7.019
1.069,0.082,-0.019,-2.930,-7.935,-0.122
0.993,-0.018,-0.057,-6.042,-18.005,-8.850
0.916,-0.135,-0.060,-10.986,-19.287,-5.554
0.926,-0.186,-0.063,-12.512,-15.503,1.343
0.983,-0.207,-0.054,-13.794,-6.104,10.315
1.078,-0.210,0.029,-12.939,-2.319,10.925
1.084,-0.207,0.048,-8.423,-1.160,8.362
1.059,-0.207,0.039,-4.089,-1.770,4.578
1.020,-0.182,0.052,-2.869,-1.038,4.700
1.007,-0.162,0.043,-0.610,2.380,3.052
0.977,-0.149,0.002,2.808,3.906,-0.549
0.958,-0.146,-0.009,1.404,0.366,0.977
0.966,-0.135,0.026,0.793,0.366,4.456
0.991,-0.126,0.013,1.099,3.357,6.470
1.014,-0.117,0.017,0.549,1.160,4.883
1.009,-0.118,0.030,0.977,-0.305,1.831
0.981,-0.119,0.028,1.465,-0.671,2.625
1.001,-0.109,0.010,0.916,2.441,4.944
1.015,-0.109,0.004,0.061,1.160,1.343
0.983,-0.119,0.007,-0.061,-0.732,-0.793
0.983,-0.124,0.015,-0.366,-0.061,-0.122
0.995,-0.122,0.002,0.122,0.977,1.770
1.000,-0.110,-0.011,-0.488,-0.732,2.441
1.004,-0.099,-0.001,-1.404,-1.160,2.502
1.010,-0.104,0.006,-2.014,0.183,0.732
1.014,-0.110,0.018,-2.441,0.305,-0.366
0.999,-0.121,0.023,-1.709,0.549,-1.099
0.996,-0.122,0.025,-1.526,0.000,0.122

1.209,-0.613,-0.476,13.184,30.457,11.841
1.276,-0.551,-0.649,23.987,36.011,0.916
1.192,-0.372,-0.691,23.010,23.804,-22.278
0.906,-0.303,-0.441,25.085,11.963,-47.363
0.649,-0.201,-0.188,37.109,6.042,-47.180
0.693,0.007,0.103,49.133,-5.127,-33.752
0.774,0.137,0.239,53.284,-14.343,-26.184
0.817,0.205,0.387,41.992,-42.908,-8.240
0.899,0.255,0.520,27.832,-46.631,12.939
1.053,0.293,0.529,17.578,-28.320,20.813
1.033,0.260,0.454,13.550,-16.846,18.127
1.009,0.197,0.396,3.296,-18.799,18.921
1.013,0.142,0.329,-3.174,-17.517,21.912
1.042,0.087,0.254,-7.141,-13.733,20.874
1.054,0.043,0.211,-6.653,-9.399,15.564
1.042,0.016,0.106,-5.737,-10.925,9.460
1.020,-0.004,0.054,-8.423,-10.681,7.019
1.019,-0.037,0.021,-8.728,-6.042,6.653
1.017,-0.062,-0.007,-8.606,-4.333,4.456
1.030,-0.089,-0.009,-8.667,-4.761,4.272
1.048,-0.090,-0.006,-9.705,-3.235,5.737
1.056,-0.089,0.042,-11.902,-1.343,5.188
1.053,-0.098,0.084,-7.935,2.075,3.662
1.054,-0.078,0.063,-3.174,-0.793,-4.089
0.992,-0.081,0.023,0.122,-10.498,-10.681
1.040,-0.073,0.067,-1.099,1.770,-2.014
0.959,-0.089,0.045,1.343,0.916,-7.202
0.955,-0.070,0.024,0.305,2.808,-1.526
1.026,-0.066,0.039,-0.305,1.831,0.977
0.990,-0.073,0.051,1.160,1.160,-2.625
0.992,-0.068,0.031,0.793,1.648,-1.282
0.994,-0.068,0.042,0.305,-1.587,-0.305
0.997,-0.065,0.048,0.000,0.916,1.465
1.022,-0.064,0.046,0.000,1.160,-0.549
1.015,-0.073,0.048,1.221,-3.296,-4.089
0.998,-0.079,0.049,1.343,-6.042,-5.493
0.977,-0.077,0.056,-0.366,-7.446,-1.831
0.980,-0.069,0.065,0.916,-2.258,1.038
1.007,-0.061,0.046,1.343,-0.671,2.380
1.011,-0.052,0.053,0.854,-4.456,-1.099

1.091,-0.966,-0.258,6.409,10.315,-23.560
1.077,-1.325,-0.027,26.855,16.052,-53.711
0.930,-1.439,0.455,67.505,15.015,-69.702
0.571,-1.097,0.792,134.949,-4.150,-63.538
0.497,-0.557,0.704,192.505,-22.461,-17.639
0.746,0.111,0.463,209.167,-5.310,79.712
1.187,0.913,0.145,182.800,17.334,92.590
1.304,1.019,-0.035,152.588,20.325,52.734
1.272,0.915,-0.053,115.173,1.099,3.723
