aX,aY,aZ,gX,gY,gZ
0.910,-1.596,0.610,85.022,-70.923,-51.575
0.641,-1.646,0.671,145.386,-78.613,-52.429
0.686,-1.314,0.537,194.214,-54.932,-25.757
0.798,-0.648,0.125,182.678,-39.063,-29.602
0.733,-0.134,0.021,142.578,-25.513,-33.447
0.664,0.045,-0.039,127.686,12.024,7.874
1.269,0.606,-0.301,40.955,61.218,30.212
0.953,0.238,0.157,21.118,-61.829,-61.890
0.902,0.129,0.459,43.579,-104.309,-13.733
1.332,0.367,0.528,26.306,-55.969,11.597
1.158,0.246,0.495,22.278,-42.480,13.733
1.229,0.289,0.428,39.001,-19.226,42.419
1.323,0.369,0.272,43.152,9.521,46.265
1.181,0.330,0.016,30.762,14.404,25.879
1.052,0.138,-0.028,18.433,12.451,18.555
1.034,-0.014,0.002,13.489,-7.263,6.165
0.938,-0.124,0.000,6.836,-15.198,1.465
0.970,-0.190,0.081,3.296,-9.277,10.803
1.051,-0.161,0.073,3.662,-9.033,9.705
1.022,-0.221,0.102,-1.892,-7.385,0.427
1.010,-0.257,0.095,-3.418,-10.742,-7.202
0.983,-0.287,0.134,-8.057,-7.935,-9.460
0.954,-0.311,0.178,-5.859,-0.122,-1.831
0.989,-0.252,0.135,-4.333,5.798,1.038
0.984,-0.248,0.147,-6.287,10.132,2.747
0.972,-0.244,0.133,0.183,4.211,3.113
0.992,-0.210,0.106,3.052,4.822,4.089
0.988,-0.190,0.097,0.122,4.761,1.404
0.977,-0.221,0.115,-2.563,1.709,-2.380
0.958,-0.241,0.138,-3.235,1.465,-2.380
0.944,-0.261,0.148,-2.625,2.563,-0.488
0.945,-0.260,0.139,1.465,4.517,2.075
0.956,-0.240,0.107,2.380,6.531,5.737
0.977,-0.230,0.084,2.197,-0.671,1.099
0.943,-0.254,0.116,1.831,-7.874,-3.418
0.955,-0.255,0.130,3.418,-4.395,-0.793
0.946,-0.266,0.120,0.000,0.000,0.000
0.942,-0.283,0.141,-0.366,4.578,5.127
0.997,-0.246,0.132,2.502,6.348,8.301

0.914,-0.815,0.315,59.692,-28.809,-34.180
0.781,-0.940,0.364,77.393,-23.499,-30.518
0.709,-1.077,0.405,107.483,-36.377,-39.917
0.569,-1.121,0.373,130.615,-63.232,-55.603
0.654,-0.945,0.306,130.432,-70.557,-72.144
0.700,-0.746,0.230,146.240,-108.704,-86.060
0.919,-0.563,0.292,128.784,-111.145,-41.260
1.283,-0.197,0.256,98.877,-39.978,-9.827
1.040,-0.106,0.183,91.797,-26.489,12.573
1.282,0.255,0.262,92.041,-13.977,44.800
1.309,0.510,0.165,88.867,-20.935,42.175
1.165,0.423,0.290,59.998,-10.376,48.645
1.169,0.425,0.240,62.073,-1.404,49.805
1.008,0.409,0.072,53.406,-13.306,32.898
0.976,0.243,0.094,43.274,-14.099,34.668
1.011,0.174,0.055,38.818,-24.231,34.607
1.109,0.153,0.064,26.367,-11.169,27.954
0.996,0.008,0.020,17.090,3.113,21.851
0.983,-0.093,0.044,9.155,8.667,29.541
0.994,-0.094,0.054,13.855,-11.536,23.437
1.054,-0.094,0.080,5.920,-6.653,15.686
1.015,-0.169,0.130,-0.488,4.517,15.808
0.996,-0.212,0.129,3.845,9.949,16.235
0.987,-0.191,0.059,11.353,10.315,17.090
1.040,-0.128,0.007,9.399,9.521,14.587
1.027,-0.103,-0.008,1.526,10.498,10.071
0.980,-0.166,0.027,-4.822,11.230,8.179
0.986,-0.170,0.041,-1.221,8.179,12.512
1.027,-0.114,0.044,-0.549,4.883,9.827
0.988,-0.128,0.033,-3.845,7.019,4.883
0.977,-0.154,0.048,-3.235,5.615,4.822
0.966,-0.163,0.068,-1.770,3.906,4.700
0.980,-0.154,0.021,-1.343,6.348,5.920
