aX,aY,aZ,gX,gY,gZ
1.059,1.296,-0.093,-115.540,17.334,36.743
0.934,1.586,-0.315,-139.832,11.719,36.194
1.083,1.488,-0.301,-184.814,4.883,0.244
1.090,0.984,0.176,-228.149,1.343,-80.933
0.603,-0.148,0.499,-158.936,-14.832,-181.152
-0.315,-1.778,0.317,-136.963,-40.649,-96.802
0.399,-1.415,0.592,-177.795,-42.969,68.420
1.311,-0.827,0.819,-154.846,-50.354,115.845
1.386,-0.766,1.009,-82.214,-74.463,47.119
1.224,-0.745,0.880,-6.653,-58.167,-12.451
1.093,-0.580,0.586,-0.427,-42.053,-3.235
1.039,-0.382,0.409,-6.226,-22.339,12.939
1.025,-0.164,0.263,1.038,-8.118,15.503
1.024,-0.024,0.197,7.996,-5.737,7.202
1.024,0.010,0.195,7.629,1.587,-6.287
0.987,-0.018,0.167,6.042,8.118,-19.104
0.941,-0.026,0.193,3.357,10.254,-19.775
0.969,-0.018,0.204,11.169,14.954,-17.456
1.009,-0.003,0.131,14.893,15.686,-27.344
0.946,-0.043,0.124,15.564,16.968,-31.921
0.902,-0.113,0.172,20.264,15.930,-25.024
0.934,-0.116,0.151,21.423,8.850,-14.099
0.943,-0.070,0.124,15.930,4.211,-7.263
0.994,-0.030,0.146,16.907,3.662,-7.568
0.995,-0.042,0.139,22.583,2.197,-14.160
0.935,-0.074,0.099,21.606,1.526,-15.442
0.945,-0.067,0.113,14.526,4.700,-6.653
0.997,-0.063,0.124,11.536,7.812,-2.136
0.954,-0.069,0.093,11.780,3.418,-5.310
0.944,-0.062,0.111,4.456,5.310,-1.770
0.947,-0.084,0.138,6.348,5.798,-3.113
0.927,-0.085,0.124,12.878,2.686,-1.465
0.969,-0.057,0.109,9.460,4.456,1.892
0.970,-0.052,0.091,7.385,2.441,0.183
0.931,-0.066,0.094,2.380,0.854,5.737
0.967,-0.057,0.138,1.404,3.235,6.897
0.981,-0.058,0.147,7.019,3.784,0.793
0.962,-0.050,0.098,8.972,1.160,-2.502
0.930,-0.051,0.076,4.089,0.732,0.488

0.859,1.309,-0.203,-35.645,7.874,46.570
1.220,1.783,-0.238,-103.699,1.770,88.257
1.507,1.650,-0.056,-155.945,0.061,37.781
1.071,0.718,0.189,-184.204,16.418,-99.487
0.358,-0.387,0.291,-168.884,23.376,-145.508
0.378,-1.155,0.424,-143.738,19.226,-63.782
0.810,-1.187,0.436,-111.145,-5.493,37.170
1.069,-0.923,0.326,-67.383,-23.865,13.184
1.046,-0.911,0.296,-30.579,-35.217,-15.991
0.917,-0.877,0.194,-30.518,-29.358,-6.592
1.045,-0.735,0.191,-43.701,-17.395,14.160
1.004,-0.652,0.189,-32.227,-20.142,12.390
0.925,-0.535,0.097,-10.986,-24.170,9.827
0.965,-0.339,0.049,-13.000,-12.451,15.076
0.992,-0.280,0.066,-11.536,-0.732,9.216
1.008,-0.275,0.060,-11.658,0.427,2.563
0.898,-0.208,0.063,-9.521,-4.700,-7.019
0.887,-0.197,0.058,-8.545,0.854,-3.967
0.989,-0.137,0.071,-9.888,5.981,1.404
0.971,-0.175,0.129,-0.732,4.456,-4.883
0.980,-0.171,0.138,2.502,4.822,-4.028
1.027,-0.162,0.069,7.690,5.066,-2.869
0.974,-0.170,0.042,0.732,-0.610,-1.465
0.923,-0.160,0.096,-4.150,-0.916,7.812
1.021,-0.104,0.113,0.427,-0.488,10.742
0.993,-0.108,0.062,8.606,-0.916,1.892
0.932,-0.139,0.029,8.057,0.427,-2.441
0.937,-0.136,0.054,1.648,-1.221,2.197
0.962,-0.117,0.073,2.075,-6.165,5.188
0.960,-0.093,0.066,4.883,-8.972,3.784
0.954,-0.070,0.059,3.174,-7.874,2.747
0.966,-0.090,0.102,0.671,-2.808,4.517
0.988,-0.104,0.091,2.563,0.732,6.348
1.006,-0.092,0.094,3.113,-1.648,7.263
1.006,-0.087,0.108,1.404,-2.380,5.188
0.969,-0.090,0.099,0.366,-1.160,1.465
0.969,-0.084,0.102,-0.977,-0.183,2.808
0.996,-0.067,0.116,-0.183,1.221,2.625
0.981,-0.069,0.083,2.625,3.662,-2.258
0.951,-0.070,0.052,0.977,3.601,-3.357

1.348,0.945,0.049,-21.973,16.052,53.040
1.131,1.091,-0.187,-52.856,10.132,20.874
0.991,1.233,-0.253,-128.174,4.761,17.578
1.095,1.232,-0.113,-196.289,3.235,22.217
1.083,1.007,0.105,-224.854,14.221,-13.367
0.926,0.536,0.263,-211.548,17.151,-79.407
0.699,-0.205,0.408,-165.955,10.864,-144.958
0.390,-0.962,0.346,-119.324,1.831,-157.959
0.343,-1.229,0.211,-148.193,-4.211,-37.537
0.683,-1.172,0.333,-155.945,-18.921,24.780
1.043,-1.161,0.690,-112.183,-40.283,34.607
1.065,-1.005,0.573,-51.575,-41.443,15.869
0.917,-0.788,0.259,-11.658,-29.297,0.610
0.814,-0.602,0.070,-13.062,-26.611,23.621
0.890,-0.391,0.138,-22.034,-21.606,37.354
1.042,-0.201,0.199,-12.939,-11.902,24.170
0.966,-0.175,0.136,3.418,-6.897,0.793
0.934,-0.148,0.031,5.554,-3.601,-7.812
0.921,-0.101,0.040,-9.460,-5.676,-3.662
1.029,-0.091,0.140,-20.630,2.625,2.991
1.073,-0.122,0.181,-4.150,10.986,-18.677
0.994,-0.167,0.096,4.517,8.667,-31.128
0.912,-0.220,0.065,1.953,9.155,-23.193
0.950,-0.202,0.062,-1.648,8.301,-11.841
0.957,-0.182,0.068,-0.183,2.502,-7.812
0.953,-0.194,0.068,4.395,0.366,-8.057
0.917,-0.208,0.055,6.836,-0.977,-7.690
0.913,-0.190,0.043,2.808,-7.080,3.235
0.958,-0.164,0.078,-0.549,-8.179,7.446
1.001,-0.143,0.101,-1.221,-6.836,4.639
0.972,-0.135,0.108,0.488,-6.287,2.319
0.992,-0.129,0.101,-0.061,-1.770,3.479
0.978,-0.140,0.092,0.977,-1.831,-1.099
0.957,-0.155,0.085,0.366,-0.061,-1.526
0.957,-0.157,0.098,-0.122,0.305,0.916
0.970,-0.153,0.093,1.099,0.732,-0.122
0.925,-0.171,0.074,1.770,-1.770,-2.686
0.941,-0.167,0.097,-0.366,-0.977,3.113
0.992,-0.137,0.111,4.028,-1.221,3.418
0.958,-0.128,0.072,5.493,-3.052,-0.977

1.060,0.988,-0.134,-67.078,4.395,51.880
1.085,1.032,-0.021,-97.595,1.099,30.518
0.973,1.010,0.030,-109.070,-14.587,-3.174
1.073,0.957,-0.084,-142.700,-17.944,-29.846
1.236,0.818,-0.083,-187.744,-8.606,-96.436
0.902,0.037,0.354,-172.607,0.183,-185.791
0.434,-0.640,0.326,-98.755,-4.822,-244.263
0.005,-1.190,-0.045,-52.734,-41.504,-143.005
0.166,-1.139,-0.123,-139.771,-23.499,10.254
1.033,-0.808,0.429,-140.991,-31.128,66.345
1.128,-0.795,0.516,-80.933,-55.298,39.307
1.056,-0.598,0.310,-41.321,-52.002,12.512
0.938,-0.437,0.147,-29.724,-37.354,4.578
0.936,-0.340,0.135,-28.564,-31.738,11.414
1.001,-0.280,0.176,-34.851,-18.433,14.893
1.109,-0.243,0.194,-30.518,-11.108,-4.395
0.962,-0.318,0.195,-18.921,-15.076,-26.245
0.939,-0.316,0.145,-18.311,-9.644,-18.616
0.972,-0.244,0.111,-24.475,-6.104,-4.761
1.002,-0.222,0.187,-27.832,-1.770,0.549
1.040,-0.210,0.233,-14.832,4.211,-8.301
1.016,-0.210,0.175,-6.470,4.883,-15.503
0.937,-0.209,0.077,-9.216,4.272,-13.184
0.928,-0.177,0.056,-18.677,2.625,-3.235
0.960,-0.148,0.143,-24.902,-0.061,5.432
1.020,-0.145,0.175,-21.912,4.944,3.540
0.981,-0.166,0.112,-12.756,3.723,-12.878
0.892,-0.212,0.107,-13.245,1.099,-10.132
0.929,-0.190,0.126,-14.404,-1.282,0.977
0.996,-0.150,0.149,-15.564,0.854,3.662
0.952,-0.172,0.151,-7.385,1.282,-9.033
0.904,-0.199,0.141,-3.662,2.686,-4.761
0.951,-0.169,0.112,-3.479,0.610,-0.244
0.944,-0.171,0.116,-4.517,0.793,-1.770
0.936,-0.187,0.132,-3.784,1.648,-4.150
0.920,-0.197,0.104,1.099,-0.671,-5.249
0.923,-0.176,0.080,0.183,-4.150,3.723
0.964,-0.152,0.102,-3.113,-3.174,5.371
0.973,-0.153,0.129,-2.563,-1.953,2.014
0.985,-0.148,0.117,-1.282,0.061,2.197

1.041,1.166,-0.040,-74.402,25.574,44.250
1.084,1.344,-0.119,-102.112,17.700,43.823
1.143,1.410,-0.076,-146.729,4.517,25.330
1.279,1.138,0.111,-189.636,16.113,-28.809
1.011,0.369,0.459,-187.744,43.396,-109.619
0.722,-0.449,0.524,-126.709,55.908,-123.962
0.595,-0.875,0.178,-97.961,9.277,-106.201
0.623,-1.087,0.090,-105.164,-15.442,-52.490
0.825,-1.347,0.410,-97.229,9.033,12.329
1.103,-1.119,0.424,-56.152,-3.357,18.738
1.076,-0.738,0.210,-4.944,-23.010,-0.793
0.878,-0.329,-0.171,4.822,-24.414,-14.709
0.829,-0.209,-0.181,-13.855,-23.437,-15.503
0.803,-0.219,-0.035,-25.452,-10.742,-12.512
0.786,-0.221,0.066,-15.747,-8.667,-4.883
0.921,-0.095,0.007,-1.770,-9.399,4.150
0.968,-0.015,-0.088,-2.014,-11.536,-7.263
0.939,-0.045,-0.078,-27.832,-3.174,-23.315
0.838,-0.179,0.090,-28.870,1.892,-15.808
0.879,-0.218,0.094,-19.043,-2.930,-6.897
0.950,-0.154,0.043,-12.939,-9.338,-11.230
0.953,-0.141,0.050,-11.719,-5.920,-17.639
0.899,-0.145,0.010,-10.742,-5.066,-18.433
0.902,-0.147,0.012,-12.451,-7.202,-10.010
0.983,-0.125,0.004,-19.348,-5.432,-0.977
0.972,-0.164,0.058,-22.583,-3.235,-4.089
0.938,-0.184,0.051,-15.320,-1.526,-5.310
0.938,-0.161,0.007,-8.362,-5.737,-2.197
0.960,-0.122,-0.007,-11.658,-6.836,1.038
0.965,-0.116,0.023,-14.465,-4.761,0.244
0.969,-0.120,0.047,-9.460,-3.662,-3.967
0.962,-0.136,0.017,-1.953,-2.441,-9.521
0.941,-0.142,-0.011,0.488,-4.761,-11.230
0.955,-0.131,-0.011,-6.836,-8.118,0.061
0.996,-0.112,0.012,-8.850,-7.263,-1.160
0.980,-0.128,0.050,-5.798,-6.409,-6.287
0.990,-0.131,0.065,-0.549,-5.737,-8.423
0.986,-0.122,0.031,3.357,-4.822,-10.132
0.965,-0.107,0.016,1.282,-4.028,-9.216
0.958,-0.124,0.040,-2.136,-2.136,-4.456

1.005,1.200,0.030,-117.310,49.255,48.523
1.031,1.234,-0.066,-154.846,50.171,1.709
0.935,1.178,-0.103,-178.467,41.992,-49.072
0.912,0.879,0.043,-178.040,32.227,-112.549
0.614,-0.594,0.422,-162.354,23.071,-164.124
0.275,-1.232,0.317,-157.104,31.189,-110.168
0.543,-1.180,0.123,-134.521,1.465,-30.090
0.928,-1.193,0.081,-116.089,-42.053,-3.174
0.908,-1.236,0.260,-126.831,-43.457,-2.747
0.849,-1.175,0.358,-102.356,-37.048,5.127
0.834,-0.925,0.191,-58.777,-44.006,24.170
0.864,-0.647,0.037,-39.551,-50.354,40.222
0.983,-0.456,0.101,-40.588,-44.861,47.791
1.086,-0.354,0.137,-26.489,-25.024,21.729
0.933,-0.339,0.134,-17.822,-23.499,13.794
0.902,-0.254,0.077,-9.094,-18.677,18.860
1.002,-0.117,0.056,-10.498,-10.071,23.437
1.051,-0.037,0.068,-7.263,-5.066,6.958
1.031,-0.038,0.081,-3.845,2.197,-11.719
0.956,-0.102,0.081,-1.343,5.981,-23.071
0.893,-0.164,0.058,-2.014,5.493,-17.517
0.928,-0.153,0.048,-4.761,5.493,-12.268
0.946,-0.129,0.055,-5.676,1.465,-14.282
0.911,-0.119,0.073,-5.859,1.160,-12.268
