aX,aY,aZ,gX,gY,gZ
0.980,-0.082,0.152,-7.080,0.000,5.371

0.931,0.304,-0.902,1.709,22.278,2.869
0.716,0.458,-1.153,-44.922,26.184,40.771
0.715,0.572,-1.237,-95.398,6.226,42.908
0.859,0.466,-0.844,-91.919,-15.564,-0.488
0.542,0.209,-0.490,-58.594,-12.695,-43.518
0.178,-0.114,-0.474,-30.823,-6.409,-44.312
0.492,-0.156,0.183,-21.912,-40.833,-10.132
1.126,-0.064,0.957,21.057,-111.633,-61.768
1.048,-0.483,1.391,21.118,-162.048,-112.488
0.960,-0.625,1.458,-48.889,-60.303,11.169
1.319,-0.270,1.115,-46.143,0.488,61.890
1.161,-0.179,0.873,-2.686,-31.128,34.668
1.070,-0.072,0.656,19.775,-54.504,15.503
1.155,0.007,0.528,20.020,-57.739,-2.991
1.068,-0.084,0.451,-6.104,-44.312,-15.625
1.013,-0.156,0.392,-11.292,-27.893,5.554
1.077,-0.082,0.276,-3.479,-23.560,11.780
1.026,-0.064,0.201,3.662,-22.705,-2.197
0.962,-0.104,0.164,8.423,-23.499,-13.977
0.942,-0.122,0.184,6.287,-23.865,-2.380
1.008,-0.103,0.234,-0.122,-12.512,12.451
1.021,-0.045,0.225,-7.751,-2.686,16.602
1.039,-0.018,0.231,-7.568,-2.441,9.216
1.031,-0.045,0.238,0.488,-3.723,-5.798
1.013,-0.080,0.212,10.193,-2.747,-15.625
0.998,-0.063,0.180,6.165,3.235,-10.559
0.984,-0.052,0.147,-3.113,3.357,-6.287
0.970,-0.086,0.171,-6.042,-0.916,-4.822
0.983,-0.104,0.189,-3.296,-2.197,-5.066
0.975,-0.108,0.193,1.404,-0.305,-5.554
0.973,-0.106,0.193,3.601,-0.427,-5.920
0.965,-0.103,0.173,3.784,0.122,-4.028
0.962,-0.090,0.165,3.479,-2.991,-2.991
0.980,-0.081,0.203,0.549,-6.165,0.854
1.014,-0.078,0.226,0.549,0.427,-0.732
0.976,-0.075,0.187,0.916,0.732,-4.395
0.976,-0.088,0.193,-3.479,1.099,-1.221
1.002,-0.101,0.226,-3.418,-0.122,-1.221
1.006,-0.097,0.228,0.183,0.244,-3.479
1.004,-0.099,0.209,3.052,6.592,-7.690

0.457,0.382,-1.338,-24.292,15.137,29.663
0.451,0.525,-1.252,-5.859,-24.414,18.555
0.437,0.585,-0.987,9.705,-62.561,-32.654
0.365,0.340,-0.437,-16.296,-61.707,-69.153
0.448,-0.331,0.207,-43.213,-78.003,-92.285
0.737,-0.876,1.029,-68.909,-129.517,-50.171
1.430,-0.700,1.722,-34.912,-92.041,23.071
1.812,-0.580,1.691,31.250,-86.670,-46.265
1.389,-0.659,1.303,42.175,-81.970,-38.086
1.115,-0.290,0.828,27.161,-47.729,36.804
1.145,-0.053,0.593,15.198,-39.368,71.838
1.129,0.122,0.528,10.315,-52.002,60.852
1.142,0.171,0.460,13.000,-56.763,30.945
1.143,0.146,0.406,9.155,-49.561,7.324
1.073,0.107,0.338,1.465,-37.354,-1.099
1.019,0.029,0.218,-4.822,-17.944,2.197
0.988,-0.008,0.156,-6.958,-15.869,8.423
0.988,-0.012,0.196,-4.211,-16.785,7.996
1.006,-0.011,0.224,-1.709,-17.029,3.723
0.993,0.016,0.215,-4.395,-10.803,3.601
1.017,0.013,0.249,-4.700,-8.179,-0.854
1.048,0.002,0.245,-3.540,-5.249,-6.409
1.053,-0.004,0.236,-0.549,-2.869,-12.268
1.017,-0.011,0.230,4.517,-1.160,-19.043
0.982,-0.002,0.184,4.211,-1.648,-17.944
0.997,-0.056,0.200,-1.465,-1.770,-10.132
0.997,-0.043,0.217,-2.808,-0.610,-4.639
1.026,-0.049,0.225,0.549,-1.160,-7.446
0.992,-0.047,0.208,1.953,4.944,-8.057
0.955,-0.037,0.184,0.916,4.517,-5.432
0.958,-0.038,0.181,-2.014,1.953,-0.793
0.962,-0.024,0.172,-3.662,2.014,2.747
0.980,-0.010,0.168,-3.540,-0.732,0.427
0.962,-0.013,0.175,-4.517,-1.892,-3.723
0.950,-0.018,0.163,-4.883,-2.014,-3.357
0.986,-0.042,0.194,-5.432,-5.493,-3.052
1.000,-0.064,0.211,-1.465,-2.808,-9.583
0.963,-0.067,0.181,2.197,-4.211,-10.681
0.952,-0.077,0.192,4.456,-7.935,-9.033
0.980,-0.087,0.197,5.249,-7.202,-6.592

0.810,0.285,-1.029,-17.517,3.174,-8.667
0.587,0.274,-1.162,-8.484,19.043,-13.733
0.252,0.306,-1.284,-11.780,20.081,-1.770
0.117,0.328,-1.089,-28.381,-23.865,11.414
0.015,0.205,-0.668,-54.016,-80.627,13.855
0.120,0.116,-0.126,-78.613,-94.238,23.010
0.483,-0.109,0.585,-55.298,-137.756,-25.391
0.991,-0.699,1.581,-0.549,-255.310,-105.469
1.348,-1.120,2.274,-13.062,-189.270,-45.410
1.414,-0.940,1.908,-29.114,-60.791,49.194
1.334,-0.536,1.337,-15.137,-26.917,95.886
1.306,-0.052,0.998,2.075,-32.349,91.431
1.351,0.061,0.797,22.095,-37.903,43.396
1.276,-0.040,0.687,37.109,-48.096,-12.817
1.120,-0.029,0.611,32.654,-39.429,-15.259
1.111,0.074,0.436,13.123,-6.958,15.503
1.155,0.124,0.269,-1.831,11.658,22.461
1.101,0.058,0.197,-2.319,7.629,-2.441
1.012,-0.055,0.178,5.249,1.282,-24.475
0.948,-0.101,0.169,12.085,1.404,-23.193
0.924,-0.093,0.180,11.047,0.000,-10.559
0.949,-0.063,0.212,0.732,-1.282,5.859
1.025,-0.058,0.245,-6.409,1.709,12.573
0.986,-0.068,0.249,-2.991,0.488,5.798
0.972,-0.074,0.237,2.808,-2.014,0.732
0.977,-0.039,0.244,3.479,-2.930,4.089
1.025,-0.014,0.257,4.761,-0.793,2.197
0.986,-0.010,0.211,6.836,3.174,-6.165
0.967,-0.026,0.205,5.920,-1.221,-10.010
0.969,-0.042,0.229,1.709,-5.005,-9.155
0.977,-0.046,0.233,-1.099,-4.822,-7.874
0.999,-0.074,0.277,-1.038,-3.662,-8.911
0.973,-0.081,0.262,0.732,2.258,-10.559
0.954,-0.089,0.230,2.441,2.502,-10.254
0.960,-0.089,0.236,0.488,0.061,-5.249
0.977,-0.088,0.244,-2.747,1.587,-1.221
0.994,-0.079,0.243,-0.732,1.831,-6.104
0.980,-0.081,0.235,3.540,0.183,-12.817
0.977,-0.088,0.232,4.517,-1.404,-14.893
0.982,-0.074,0.223,1.099,-1.709,-16.113

0.252,0.585,-1.254,-61.829,19.714,14.648
-0.013,0.564,-1.381,-59.570,23.254,-11.353
-0.277,0.508,-1.372,-43.091,-47.241,-17.822
-0.365,0.511,-1.233,-51.941,-138.428,-6.592
-0.076,0.366,-0.674,-83.984,-239.502,-12.329
0.685,-0.134,0.454,-89.539,-284.363,-37.537
1.430,-0.590,1.497,-44.434,-228.088,-48.889
1.681,-0.594,1.461,-6.775,-158.752,-66.772
1.534,-0.839,1.536,15.808,-174.805,-86.304
1.464,-0.654,1.368,-2.686,-133.179,-9.277
1.593,-0.273,1.011,-9.277,-46.143,50.964
1.289,-0.043,0.631,10.681,-37.842,15.564
1.219,-0.026,0.515,20.630,-31.677,-11.597
1.089,0.011,0.431,16.724,-27.161,-9.827
1.096,-0.003,0.352,2.258,-17.639,6.409
1.056,0.046,0.202,-8.667,-5.737,18.005
1.064,0.045,0.117,-4.944,-1.099,7.202
0.979,-0.026,0.095,7.263,-8.850,-12.329
0.929,-0.046,0.109,8.362,-9.216,-4.944
0.989,-0.007,0.155,-4.150,-8.606,14.221
1.046,0.014,0.196,-12.268,-7.324,19.287
1.065,0.008,0.233,-7.202,-5.737,7.751
1.044,0.006,0.223,4.944,-2.930,-9.460
1.005,-0.003,0.180,11.108,4.456,-18.738
0.971,-0.016,0.119,7.202,2.991,-14.709
0.950,-0.028,0.121,0.488,0.061,-5.554
1.009,-0.015,0.130,-3.174,-0.549,-0.977
1.014,-0.031,0.126,-1.953,-1.160,-5.615
0.986,-0.046,0.136,0.244,-2.808,-7.690
0.995,-0.054,0.143,0.183,-3.174,-4.944
1.005,-0.042,0.142,-1.526,-2.441,-0.916
1.012,-0.057,0.177,-0.854,-3.784,-1.831
1.020,-0.040,0.176,0.305,-0.427,-2.625
1.020,-0.025,0.159,-0.305,1.465,-6.409
1.005,-0.050,0.160,1.038,2.014,-9.583
0.983,-0.062,0.148,2.258,3.052,-7.751
0.985,-0.059,0.133,1.404,2.869,-4.150
0.987,-0.049,0.139,1.099,2.319,-1.953
0.986,-0.040,0.133,0.061,2.319,-0.671
0.983,-0.045,0.136,-3.052,1.282,-0.916

1.420,0.132,-0.766,20.935,36.072,-30.884
1.163,0.188,-0.932,29.480,52.856,-55.054
0.531,0.056,-1.030,13.489,71.228,-38.269
0.106,-0.124,-0.893,-57.556,65.063,97.046
0.337,-0.032,-0.349,-75.378,27.222,128.967
1.255,0.172,0.483,-11.902,-26.794,-33.691
1.182,-0.164,0.744,36.804,-73.975,-196.228
0.462,-0.718,0.766,-16.968,-68.481,-99.182
1.175,-0.443,1.096,-47.974,-75.867,26.550
1.284,-0.344,1.196,20.325,-86.670,1.831
1.134,-0.252,0.933,24.841,-67.200,-9.766
1.160,-0.191,0.768,-3.540,-45.349,12.878
1.123,-0.080,0.632,-11.414,-27.039,22.583
1.069,-0.077,0.423,-0.183,-19.897,11.108
0.986,-0.066,0.259,13.123,-20.996,-9.583
0.874,-0.147,0.134,9.338,-21.729,-6.226
0.868,-0.142,0.093,-0.977,-12.329,20.264
0.929,-0.112,0.079,5.310,-17.151,26.062
0.950,-0.064,0.057,12.390,-20.996,13.489
0.967,-0.069,0.061,5.371,-15.015,16.235
1.031,-0.072,0.080,-1.038,-9.644,23.499
1.041,-0.052,0.107,-0.305,-7.935,18.982
1.044,-0.045,0.113,2.441,-4.150,10.376
1.028,-0.053,0.082,7.080,-2.808,3.296
1.013,-0.052,0.084,9.460,-4.578,1.160
1.024,-0.026,0.085,6.409,-2.441,4.883
1.025,-0.025,0.084,3.540,-1.709,4.395
1.000,-0.045,0.082,2.991,-5.432,-1.709
0.978,-0.060,0.091,1.892,-9.033,-2.136
0.982,-0.072,0.115,0.488,-14.771,-1.953
1.030,-0.094,0.198,0.122,-13.000,-0.549
1.014,-0.066,0.171,2.197,-1.404,2.808
1.006,-0.038,0.125,4.333,0.916,0.854
1.001,-0.053,0.112,3.906,-0.732,-3.418
0.996,-0.067,0.124,2.258,0.977,-4.395
0.999,-0.073,0.136,1.709,1.404,-4.700
1.000,-0.078,0.124,2.686,4.272,-4.578
0.966,-0.082,0.089,4.456,4.761,-5.554
0.953,-0.074,0.088,3.967,3.357,-2.563
0.977,-0.056,0.101,2.686,2.014,1.892

1.238,0.131,-0.685,-6.104,23.132,38.696
1.317,0.143,-0.798,20.569,22.034,18.494
1.271,0.263,-0.933,24.475,42.603,-2.319
0.772,0.093,-1.145,0.610,60.181,-2.808
0.613,-0.063,-1.050,-35.400,64.453,43.823
0.719,-0.046,-0.656,-20.386,47.180,56.335
0.914,0.105,-0.230,45.471,10.498,-35.339
0.534,-0.174,0.006,53.162,-18.005,-104.675
0.562,-0.537,0.510,-18.127,-20.386,-11.841
1.145,-0.275,0.952,-42.297,-3.601,99.976
1.363,0.027,0.903,32.043,-49.500,9.644
1.060,0.029,0.725,45.959,-84.106,-53.772
0.960,-0.177,0.829,22.888,-76.172,-28.564
0.981,-0.133,0.668,2.502,-48.767,17.395
1.075,0.008,0.534,3.235,-42.542,26.550
1.013,0.068,0.478,26.306,-57.068,-30.029
0.976,-0.010,0.409,18.921,-44.922,-34.790
0.988,-0.090,0.313,2.075,-25.452,-6.042
1.027,-0.047,0.278,-5.676,-26.062,16.968
1.087,0.005,0.204,-5.188,-21.240,18.677
1.105,-0.008,0.182,2.686,-19.104,-2.869
1.021,-0.056,0.215,15.320,-17.090,-23.193
0.983,-0.051,0.204,6.165,-3.723,-7.874
1.045,-0.015,0.126,-3.418,5.249,1.404
1.021,-0.038,0.089,1.160,2.502,-8.728
0.960,-0.039,0.068,10.864,-1.526,-16.602
