aX,aY,aZ,gX,gY,gZ
1.005,-0.004,0.043,1.404,0.427,-5.920
0.999,0.005,0.056,0.000,-1.221,-3.235

1.272,0.956,-0.098,-21.545,-19.226,23.682
1.284,1.611,0.130,-13.062,-40.649,107.178
1.155,1.647,0.737,-79.773,-39.856,144.287
0.876,1.209,0.954,-174.438,-60.852,141.296
0.305,0.610,0.830,-210.815,-75.684,88.501
0.227,-0.022,0.652,-183.655,73.608,-63.965
1.154,-0.892,-0.197,-159.668,181.641,-104.614
1.563,-0.998,-0.571,-166.504,144.287,-53.955
1.299,-0.776,-0.415,-154.846,-72.510,5.249
0.789,-0.517,0.137,-120.544,-128.418,-1.343
0.852,-0.561,0.285,-72.266,-44.373,-31.799
1.077,-0.601,-0.004,-32.715,63.293,-38.574
1.163,-0.453,-0.189,-31.372,26.733,-22.217
1.061,-0.353,-0.122,-32.471,-20.203,-15.381
0.985,-0.336,-0.034,-21.179,-20.569,-18.494
1.041,-0.318,-0.079,-7.202,4.089,-11.719
1.047,-0.262,-0.145,0.732,7.202,2.197
1.071,-0.232,-0.150,-1.282,-20.447,25.391
0.913,-0.028,-0.056,-4.272,-34.790,21.973
0.897,-0.006,-0.046,-1.770,-22.522,2.136
1.000,-0.036,-0.073,21.973,7.996,-2.991
1.053,-0.030,-0.142,18.555,2.258,-1.282
1.033,-0.008,-0.047,10.193,-23.987,1.160
0.987,0.028,0.012,11.963,-31.372,3.540
1.009,0.025,-0.007,15.808,4.761,1.343
1.055,0.002,-0.035,11.719,6.531,6.165
1.020,0.040,-0.032,0.061,-9.399,7.385
0.964,0.046,0.010,-3.357,-12.146,2.563
0.954,0.039,0.045,7.141,16.174,1.160
1.030,0.054,-0.037,3.723,13.000,-5.554
1.059,0.020,-0.064,-2.747,-3.174,-14.526
1.015,-0.006,-0.038,0.610,-9.033,-6.897
0.998,0.021,-0.031,0.610,-6.714,-3.845
1.001,0.044,-0.016,1.038,-12.329,-11.658
1.008,0.010,-0.014,1.953,-15.686,-17.761
1.001,-0.020,-0.022,5.005,-13.489,-16.479
0.992,-0.005,-0.017,2.686,-13.611,-13.916
0.966,-0.004,0.005,0.610,-13.977,-16.479
0.955,-0.019,0.016,0.854,1.831,-13.184
1.021,-0.023,-0.032,2.686,7.690,-8.667

1.323,1.163,-0.001,-35.645,-42.603,77.820
1.183,1.672,0.302,-76.111,-85.022,152.710
0.995,1.646,0.718,-89.355,-44.250,132.385
0.565,0.723,0.804,-105.164,6.287,73.853
0.588,0.150,0.500,-147.339,33.630,15.991
0.844,-0.347,0.134,-171.875,77.393,-80.872
1.080,-0.763,-0.241,-163.025,77.454,-83.130
1.145,-0.860,-0.429,-154.602,33.386,-43.335
1.050,-0.726,-0.169,-112.122,-40.527,-27.954
1.013,-0.623,-0.032,-76.904,-15.503,-30.762
1.090,-0.416,-0.109,-51.514,11.292,-19.348
1.082,-0.343,-0.068,-32.898,-0.671,-3.601
