aX,aY,aZ,gX,gY,gZ
1.887,0.086,0.237,-2.136,23.010,5.066
2.260,0.034,0.194,-4.089,38.635,0.671
2.271,-0.009,0.217,-9.521,56.274,20.569
1.906,-0.048,0.260,-16.785,86.365,46.143
1.549,-0.080,0.214,-18.066,103.699,57.373
1.182,-0.091,0.162,-43.823,80.933,55.420
0.698,-0.006,0.213,-66.162,41.382,37.292
0.431,0.053,0.155,-68.604,4.333,9.888
0.238,0.105,0.127,-66.284,-17.944,-11.658
0.127,0.158,0.121,-33.386,-12.146,-36.560
0.182,0.134,0.064,2.441,17.578,-45.410
0.272,0.022,-0.015,35.095,47.852,-37.781
0.386,0.000,-0.141,33.081,68.115,10.620
0.490,0.079,-0.190,18.799,44.189,20.935
0.554,0.129,-0.073,21.118,8.972,7.568
0.600,0.061,0.032,36.560,-2.258,-1.526
0.698,0.050,0.028,32.654,25.024,10.010
0.812,0.067,0.014,18.677,20.020,3.052
0.897,0.050,0.003,6.104,-0.366,-12.146
0.894,0.050,-0.020,-1.282,-10.132,-17.212
0.916,0.076,-0.065,-1.221,1.770,-3.235
1.011,0.079,-0.069,2.686,3.174,0.305
0.998,0.042,-0.073,-0.610,-1.587,1.160
0.965,0.054,-0.067,-14.282,-10.742,10.193
0.990,0.101,-0.059,-16.663,-18.494,5.554
0.992,0.114,-0.042,-8.606,-18.127,-0.793
1.003,0.067,-0.033,3.967,-2.930,-1.953
1.033,0.052,-0.032,2.686,-0.549,1.831
1.012,0.051,-0.038,-2.502,-5.920,1.770
0.995,0.055,-0.033,-6.226,-8.728,1.343
0.983,0.076,-0.019,-4.944,-2.136,4.211
1.014,0.080,-0.051,-0.427,2.075,3.418
1.014,0.093,-0.032,1.587,3.540,1.160
1.005,0.064,-0.036,1.770,8.057,-2.930
1.013,0.044,-0.046,0.549,8.667,1.770
1.032,0.048,-0.075,-3.418,7.263,5.249
1.014,0.049,-0.073,-6.042,0.000,3.357
1.022,0.047,-0.068,-2.136,-2.380,0.916
1.015,0.074,-0.064,-0.488,0.305,1.526
0.992,0.081,-0.064,1.160,1.099,4.700

1.836,0.132,0.372,0.610,-20.935,6.409
2.175,0.151,0.565,-14.465,-36.255,11.841
2.161,0.281,0.732,-53.101,-13.733,26.428
1.802,0.284,0.698,-54.932,63.660,4.578
1.689,0.034,0.349,-32.776,143.494,-22.156
1.472,-0.185,-0.002,-31.372,144.775,-28.198
1.146,-0.209,-0.149,-46.082,84.534,-15.137
0.688,-0.125,0.043,-55.115,25.696,-3.235
0.327,-0.071,0.153,-51.941,1.038,15.320
0.074,0.096,0.162,-43.274,21.057,29.175
0.109,0.188,0.093,-26.184,47.791,25.879
0.185,0.193,0.012,-1.831,62.805,10.681
0.297,0.136,-0.036,32.104,62.683,-10.803
0.471,0.045,-0.041,47.974,55.725,-13.367
0.584,-0.046,0.003,43.518,44.495,-1.404
0.640,0.023,-0.002,23.437,37.659,13.245
0.737,0.110,0.006,13.306,19.104,-1.099
0.824,0.068,-0.060,23.376,15.564,-8.484
0.865,0.044,-0.069,18.799,20.935,-0.977
0.943,0.085,-0.084,9.033,22.339,5.432
0.998,0.091,-0.127,2.136,5.432,4.944
1.007,0.099,-0.165,-2.075,-8.667,2.319
0.993,0.101,-0.109,-4.761,-21.179,-0.244
0.994,0.102,-0.091,-2.991,-16.785,1.038
0.999,0.113,-0.083,2.686,-9.766,2.808
0.983,0.117,-0.077,8.728,-3.601,5.310
1.028,0.079,-0.076,12.268,-2.869,6.287
0.969,0.053,-0.052,2.136,-16.296,12.756
0.941,0.120,-0.004,-5.249,-17.090,14.771
0.953,0.145,0.000,-6.714,-15.869,7.568
0.960,0.138,-0.014,-0.305,-2.441,0.977
0.983,0.121,-0.029,3.418,7.385,1.770
1.008,0.114,-0.061,-0.549,3.357,-1.038
1.031,0.119,-0.080,-5.432,-2.747,-0.488
1.014,0.129,-0.062,-2.563,-6.226,0.671
1.018,0.106,-0.041,-2.197,-6.409,-3.113
1.030,0.082,-0.040,-9.460,-10.864,-3.113
1.012,0.095,-0.037,-12.939,-10.010,0.366
0.990,0.118,-0.047,-6.104,-4.517,2.380
0.981,0.106,-0.028,4.578,4.272,2.136

1.878,0.200,0.360,-5.859,6.714,-6.042
2.108,0.112,0.476,1.831,22.522,-21.729
2.156,-0.114,0.436,-0.427,89.416,-9.827
1.911,-0.282,0.183,-23.071,114.319,19.348
1.565,-0.258,-0.001,-36.072,111.633,44.800
1.185,-0.216,-0.042,-59.082,49.438,54.138
0.505,-0.097,0.124,-89.172,-10.315,45.898
0.150,0.053,0.255,-106.445,-42.908,36.255
-0.047,0.182,0.268,-81.665,-11.108,22.827
-0.106,0.274,0.169,-43.396,38.879,14.893
0.077,0.234,-0.072,-7.690,82.764,5.188
0.270,0.193,-0.209,5.981,89.355,-3.296
0.436,0.138,-0.228,-4.272,34.668,-23.010
0.526,0.109,-0.230,-0.183,5.493,-28.564
0.671,0.087,-0.159,13.611,7.629,-19.409
0.803,0.054,-0.144,24.719,22.583,-6.348
0.855,0.065,-0.160,12.451,11.230,-5.188
