aX,aY,aZ,gX,gY,gZ
0.946,-0.442,-0.197,52.917,38.940,-8.667
0.855,-0.078,-0.200,56.824,-4.395,9.094
0.774,0.195,-0.078,77.576,-47.668,3.784
0.761,0.541,0.095,80.627,-51.514,-3.540
0.890,0.671,0.151,78.430,-38.086,-1.038
0.983,0.675,0.262,88.318,-9.277,-17.578
1.031,0.443,0.247,87.463,17.456,-22.949
1.088,0.318,0.141,66.589,24.963,-14.038
1.095,0.287,-0.016,49.011,14.587,10.803
1.023,0.278,-0.070,38.208,-18.921,32.410
0.945,0.244,0.015,25.513,-34.668,30.701
0.901,0.193,0.087,18.066,-23.499,23.743
0.972,0.144,0.048,15.808,-2.747,16.113
1.005,0.128,0.005,12.329,-1.221,12.878
1.002,0.114,0.013,13.550,-13.611,9.277
0.986,0.059,0.064,11.292,-16.357,4.395
0.976,0.042,0.045,8.545,-10.132,2.869
1.001,0.049,0.021,7.202,-1.404,3.662
1.015,0.051,-0.010,10.925,-2.686,3.845
1.032,0.031,0.007,11.230,-5.676,2.808
1.029,0.013,0.033,9.460,-8.240,4.883
1.009,0.034,0.043,7.019,-9.277,6.165
1.007,0.042,0.062,5.798,-7.263,2.319
1.008,0.034,0.053,5.127,1.404,-2.441
1.022,0.033,0.027,5.859,2.747,-2.380
1.017,0.015,0.030,6.287,0.183,-2.869
1.000,0.014,0.027,4.578,-2.686,-2.686
0.990,0.015,0.016,5.493,1.099,-2.747
1.002,0.014,0.017,7.263,2.930,-3.540
1.009,-0.001,0.023,7.874,1.099,-5.920
1.025,-0.010,0.019,7.812,2.319,-5.798
1.024,0.012,0.013,7.263,0.549,0.854
0.995,0.048,0.018,8.301,-0.793,1.770
0.985,0.050,0.023,9.399,-1.404,0.183
0.980,0.058,0.033,8.362,-2.136,-0.549
0.984,0.056,0.037,8.301,0.977,-0.122
1.013,0.054,0.069,5.920,0.549,0.610

1.163,-0.973,-0.037,19.531,25.940,-19.104
1.205,-1.069,-0.153,41.870,62.195,3.784
1.178,-0.961,-0.211,47.424,37.903,33.630
0.902,-0.534,-0.133,55.786,-8.301,51.270
0.753,-0.200,0.011,73.303,-47.546,50.354
0.719,0.207,0.100,102.783,-40.405,53.162
0.748,0.612,0.104,123.657,-17.212,33.691
0.750,0.749,0.420,144.897,-5.127,-3.052
0.775,0.699,0.519,151.672,7.629,-10.071
0.829,0.671,0.474,109.619,27.893,-6.104
0.917,0.639,0.302,88.867,30.945,1.160
0.927,0.544,0.064,78.979,30.396,3.601
0.956,0.440,0.028,69.580,21.667,1.831
0.957,0.371,0.043,49.988,4.395,1.099
0.970,0.336,0.055,27.954,-5.432,4.578
0.981,0.300,0.022,27.100,2.014,8.423
0.978,0.245,-0.020,19.287,1.831,8.545
0.998,0.222,0.006,9.033,-11.536,6.226
0.979,0.191,0.033,3.906,-23.804,1.465
0.968,0.132,0.014,5.005,-10.376,-5.737
1.008,0.079,-0.015,2.319,0.916,-2.258
1.049,0.068,-0.013,-1.587,-1.465,2.563
1.048,0.058,-0.005,-1.221,-7.446,3.906
1.033,0.043,0.010,-2.808,-7.263,3.662
1.017,0.045,0.009,-2.808,-3.601,4.211
1.005,0.050,0.017,-2.014,0.427,3.662
1.011,0.061,0.017,3.723,2.869,2.930
1.006,0.070,0.021,7.141,1.465,-0.183
0.995,0.046,0.044,6.226,0.183,-2.380
0.989,0.058,0.041,1.770,-0.671,-0.366
0.977,0.082,0.013,0.305,-1.282,0.244
0.974,0.082,0.013,0.793,-4.089,-3.601
0.977,0.079,0.009,0.427,-2.502,-4.700
0.996,0.082,0.010,1.892,-0.122,-6.409
1.008,0.061,0.007,2.563,0.488,-8.545
1.020,0.052,-0.004,2.319,-1.221,-3.235
1.017,0.062,0.011,0.732,-4.944,0.916
0.999,0.080,0.019,-0.732,-7.080,2.930
0.997,0.084,0.028,0.488,-1.770,1.404
1.005,0.074,0.022,-0.854,0.061,0.854

1.236,-0.924,0.008,1.465,31.372,-12.573
1.285,-1.098,-0.053,38.086,74.768,-14.832
1.320,-1.149,-0.070,47.058,58.716,-26.367
1.122,-1.082,0.008,56.274,27.893,-30.212
0.926,-0.807,0.022,64.331,3.052,-13.611
0.789,-0.352,0.073,77.942,-29.480,16.418
0.653,0.469,0.204,69.641,-57.007,21.912
0.655,0.905,0.258,65.613,-66.528,16.296
0.695,1.028,0.382,91.003,-38.940,-16.724
0.854,0.904,0.357,124.817,43.396,-61.157
1.113,0.627,0.142,95.703,44.189,-51.208
1.120,0.544,0.010,63.416,16.541,-28.076
1.040,0.453,-0.128,59.265,-3.174,-0.854
0.948,0.380,-0.163,57.495,-9.338,23.193
0.874,0.344,-0.030,49.316,-11.902,21.667
0.921,0.246,0.040,41.748,-4.150,6.409
0.953,0.162,0.044,32.227,9.827,6.470
0.986,0.124,-0.013,26.794,4.883,15.259
0.994,0.112,0.014,15.381,-19.531,14.893
0.949,0.089,0.091,5.554,-32.410,8.240
0.970,0.059,0.088,2.563,-21.851,3.052
0.987,0.045,0.032,1.404,-3.601,1.038
1.006,0.043,0.017,2.563,-8.057,-3.601
1.024,0.006,0.037,6.653,-8.301,-11.780
1.089,-0.073,0.037,7.568,-1.404,-10.986
1.100,-0.062,0.004,4.211,-2.808,-0.732
1.059,-0.023,-0.003,2.258,-15.564,8.789
1.002,0.010,0.037,6.653,-11.475,6.042
1.004,0.005,0.047,9.460,-3.906,0.916
1.014,0.012,0.033,8.850,-1.587,-0.854
1.002,0.032,0.019,11.719,-2.869,-0.916
0.989,0.039,0.042,12.756,-1.770,-2.136
1.000,0.055,0.056,9.460,-0.305,-2.136
1.005,0.077,0.022,8.179,7.263,-1.587
1.010,0.097,-0.003,9.216,6.104,-3.784
1.019,0.041,0.041,8.972,0.977,-9.888
1.011,-0.000,0.081,3.662,-3.540,-10.193
1.004,0.008,0.069,-8.301,-10.803,-4.639
0.993,0.009,0.047,-6.958,-7.935,-5.066
0.996,-0.005,0.055,-6.042,-3.479,-6.470

1.078,-1.297,0.044,27.832,66.101,-70.801
1.099,-1.682,-0.018,45.776,59.692,-112.244
1.065,-1.714,-0.150,106.750,66.589,-91.675
0.955,-0.732,-0.151,103.821,17.578,-7.263
0.873,0.146,0.007,87.585,-84.351,76.538
0.783,0.634,0.279,97.473,-155.762,62.012
0.766,0.872,0.412,109.192,-82.336,18.433
1.010,0.782,0.145,111.755,6.165,-24.353
1.276,0.647,0.055,114.319,31.494,-31.982
1.398,0.419,-0.014,97.778,-6.226,-17.517
1.177,0.326,0.025,69.580,-34.302,18.799
0.887,0.391,0.067,45.837,-43.091,40.100
0.877,0.371,0.090,43.030,-28.198,31.921
0.908,0.256,0.082,56.152,24.536,6.897
0.988,0.156,0.088,40.405,19.958,4.089
1.005,0.078,0.098,15.808,-6.348,9.949
0.936,0.083,0.109,3.479,-22.095,14.954
0.906,0.082,0.104,5.737,-7.141,6.287
0.919,0.075,0.087,6.653,-0.732,-5.676
0.994,0.001,0.053,7.507,3.418,-15.198
1.000,-0.037,0.031,8.118,2.747,-12.878
0.998,-0.023,0.010,5.371,-3.296,-6.470
1.012,0.018,0.005,3.723,-6.897,-4.822
1.065,0.042,-0.002,5.127,-3.845,-7.202
1.067,-0.000,0.003,2.686,-4.639,-10.498
1.024,-0.057,0.036,0.366,-13.000,-7.812
0.994,-0.069,0.095,-1.709,-13.672,-4.822
0.976,-0.068,0.093,-1.953,-8.545,-6.897
0.999,-0.082,0.082,0.916,-6.104,-8.667
1.027,-0.091,0.052,0.244,-9.583,-3.357
1.003,-0.059,0.036,-0.916,-14.160,2.686
0.994,-0.042,0.071,-2.625,-12.756,1.831
0.985,-0.031,0.091,-3.113,-7.446,-1.587
0.995,-0.027,0.084,-3.479,-3.174,-5.737
0.996,-0.035,0.091,-1.099,0.916,-11.597
1.037,-0.064,0.079,-1.465,3.418,-11.719
1.032,-0.053,0.063,-2.014,-0.427,-5.188
0.999,-0.011,0.047,0.061,-9.094,3.601
0.996,0.011,0.054,4.150,-15.259,-2.930
1.004,-0.028,0.072,5.859,-15.747,-12.390

1.029,-1.207,-0.077,36.865,40.955,-58.044
1.059,-1.312,-0.117,86.243,49.194,-61.462
1.044,-1.181,0.006,104.309,14.404,-34.119
0.908,-0.813,0.116,99.609,-34.241,-5.737
0.825,-0.334,0.240,92.346,-75.378,31.311
0.854,0.223,0.260,103.027,-62.073,62.439
0.859,0.708,0.329,129.822,-42.419,57.800
0.871,0.784,0.513,142.395,-34.912,47.668
0.934,0.782,0.559,122.314,-27.649,30.090
0.971,0.715,0.449,78.491,-13.000,-7.324
1.018,0.557,0.145,64.880,1.770,-16.357
1.010,0.469,0.034,56.396,6.531,-4.578
0.977,0.357,0.041,49.500,-2.014,1.526
0.980,0.248,0.110,33.203,-15.259,-8.362
1.187,0.292,-0.013,19.165,-1.770,-8.972
1.172,0.058,-0.025,20.874,25.208,-19.653
0.944,-0.132,0.136,17.395,-4.944,4.700
0.841,-0.089,0.233,-6.653,-30.090,15.564
0.929,-0.037,0.220,-9.277,-14.404,-0.732
0.971,-0.100,0.136,6.531,11.108,-10.132
1.023,-0.153,0.093,8.667,2.991,-4.883
1.022,-0.145,0.134,2.563,-12.512,1.953
1.013,-0.108,0.137,1.099,-7.629,1.953
1.044,-0.089,0.060,1.160,4.395,-0.244
1.065,-0.077,0.025,4.395,5.005,-1.404
1.035,-0.096,0.067,8.362,1.404,-1.648
1.003,-0.126,0.147,6.653,0.061,0.000
0.972,-0.112,0.132,0.732,-0.244,2.991
0.960,-0.082,0.096,-2.869,1.343,-0.122
0.970,-0.105,0.093,0.977,1.221,-6.226
0.980,-0.112,0.068,0.183,6.348,-6.042
